Date,TGD,GCE
2004/5/12,5445,16043
2004/5/13,5446,15995
2004/5/14,5454,16000
2004/5/17,5467,15985
2004/5/18,5475,16028
2004/5/19,5472,16028
2004/5/20,5480,16028
2004/5/21,5482,16070
2004/5/24,5487,16086
2004/5/25,5487,16076
2004/5/26,5487,16070
2004/5/27,5480,16070
2004/5/28,5471,16066
2004/5/31,5476,16045
2004/6/1,5476,16067
2004/6/2,5476,16041
2004/6/3,5476,16013
2004/6/4,5464,16012
2004/6/7,5470,16016
2004/6/8,5472,16051
2004/6/9,5477,16060
2004/6/10,5477,16061
2004/6/11,5475,16057
2004/6/14,5479,16059
2004/6/15,5479,16059
2004/6/17,5479,16079
2004/6/18,5479,16059
2004/6/21,5475,16055
2004/6/22,5474,16037
2004/6/23,5474,16022
2004/6/24,5474,16056
2004/6/25,5459,16023
2004/6/28,5459,15964
2004/6/29,5459,15913
2004/6/30,5459,15930
2004/7/1,5459,15935
2004/7/2,5459,15937
2004/7/5,5459,15935
2004/7/6,5459,15958
2004/7/7,5459,15960
2004/7/8,5459,15960
2004/7/9,5459,15930
2004/7/12,5459,15953
2004/7/13,5459,15955
2004/7/14,5459,15955
2004/7/15,5459,15955
2004/7/16,5459,15955
2004/7/19,5459,15955
2004/7/20,5451,15934
2004/7/21,5453,15934
2004/7/22,5451,15928
2004/7/23,5447,15928
2004/7/26,5432,15928
2004/7/27,5431,15865
2004/7/28,5431,15865
2004/7/29,5441,15865
2004/7/30,5441,15865
2004/8/2,5438,15865
2004/8/3,5439,15865
2004/8/4,5444,15865
2004/8/5,5449,15896
2004/8/6,5450,15901
2004/8/10,5450,15941
2004/8/11,5450,15939
2004/8/12,5462,15939
2004/8/13,5465,15985
2004/8/16,5465,15970
2004/8/17,5457,15970
2004/8/18,5457,15970
2004/8/19,5457,15933
2004/8/20,5457,15933
2004/8/23,5457,15933
2004/8/24,5457,15954
2004/8/25,5467,15954
2004/8/26,5452,15975
2004/8/27,5452,15965
2004/8/30,5452,15937
2004/8/31,5452,15937
2004/9/1,5472,15963
2004/9/2,5472,15990
